Empresa,Prioridade,Status,Nota
Goldman Sachs Brasil,1,⚙️ candidato_fase_2,"Plataforma própria higher.gs.com, sem API pública mapeada"
JPMorgan Brasil,1,✅ confirmado,"Oracle Cloud HCM — 6 vagas reais do Programa de Estágio Brasil (Drive The Future)"
BTG Pactual,1,✅ confirmado,Greenhouse btgpactual
Itaú BBA,1,✅ confirmado,"Mesmo board Gupy do Itaú Unibanco, via carreiras.itau.com.br"
Bradesco BBI,1,⚙️ candidato_fase_2 (+ manual),"Cornerstone confirmado (bradesco.csod.com), API exige auth; estágio via Eureca já capturado manualmente"
Morgan Stanley Brasil,1,⚙️ candidato_fase_2,Plataforma TalentLink (tal.net)
Bank of America Brasil,2,⚙️ candidato_fase_2,"careers.bankofamerica.com, plataforma não confirmada"
Citi Brasil,2,✅ confirmado,"jobs.citi.com — página de categoria com HTML estático, 5 vagas reais de estágio (Markets, Banking, PCD)"
UBS BB,2,⚙️ candidato_fase_2,"Cia de Talentos — hotsite Angular, sem dados estáticos, provável candidato a curadoria manual"
Santander Brasil,2,✅ confirmado,"Workday — filtro por faceta de país, 1 vaga real achada (Estagiario J6, São Paulo)"
BR Partners,2,⚙️ candidato_fase_2,"Portal próprio, fetch automatizado bloqueado (403)"
Safra,2,✅ confirmado,Gupy venhasersafra
Banco Modal,3,✅ confirmado (ressalva),"Mesma empresa da Modalmais (Gupy modalmais) — feed defasado desde 2023"
Banco ABC Brasil,3,⚙️ candidato_fase_2,Página de carreiras retorna 403
Votorantim (BV),3,⚙️ candidato_fase_2,Programa ativo mas ATS não confirmado
Barclays Brasil,3,✅ confirmado,Workday — sem vaga no Brasil agora
Deutsche Bank Brasil,3,⚙️ candidato_fase_2,"careers.db.com, plataforma não confirmada"
XP Investimentos,1,✅ confirmado,Greenhouse xpinc
Genial Investimentos,1,✅ confirmado,Gupy genial
Inter Invest,2,✅ confirmado,Mesmo board do Banco Inter
Ágora Investimentos,2,⚙️ candidato_fase_2,Mesmo funil do Bradesco — sem board próprio
Warren,2,⛔ bloqueado_ia,warren.inhire.app bloqueia ClaudeBot/GPTBot
Avenue Securities,2,⛔ bloqueado_ia,avenue.inhire.app bloqueia ClaudeBot/GPTBot (plataforma INHIRE inteira é bloqueada)
Rico,3,✅ confirmado,Mesmo board da XP
Clear,3,✅ confirmado,Mesmo board da XP
Órama,3,⚙️ candidato_fase_2,Board Gupy existe mas feed parado desde 2023
Toro Investimentos,3,⛔ bloqueado_ia,toroinvestimentos.inhire.app bloqueia bots de IA
Vitreo / Empiricus Investimentos,3,🔎 parcial,Vagas de research da Empiricus já aparecem no board do BTG
CM Capital,3,🚫 sem_ats_publico,Nenhum ATS próprio identificado com confiança
Necton,3,✅ confirmado,Subsidiária do BTG — vagas no próprio board Greenhouse do BTG
Verde Asset Management,1,🚫 sem_ats_publico,
SPX Capital,1,✅ confirmado,"Zoho Recruit — vagas embutidas no HTML, 5 vagas reais de estágio"
Kinea Investimentos,1,✅ confirmado,Gupy kinea
Adam Capital,1,🚫 sem_ats_publico,
Vinland Capital,1,🚫 sem_ats_publico,Nenhuma página de carreiras/ATS encontrada
Kapitalo Investimentos,1,🚫 sem_ats_publico,
Legacy Capital,1,🚫 sem_ats_publico,
Itaú Asset Management,1,✅ confirmado,Mesmo board do Itaú
BTG Asset Management,1,✅ confirmado,Mesmo board do BTG
XP Asset Management,1,✅ confirmado,Mesmo board da XP
Absolute Investimentos,2,🚫 sem_ats_publico,
Genoa Capital,2,🚫 sem_ats_publico,Só e-mail/contato
Ibiuna Investimentos,2,🚫 sem_ats_publico,
Navi Capital,2,🚫 sem_ats_publico,Só "trabalhe conosco" institucional
AZ Quest,2,🚫 sem_ats_publico,
Bradesco Asset Management (BRAM),2,⚙️ candidato_fase_2,Mesmo board do Bradesco
Santander Asset Management,2,✅ confirmado,Mesmo board Workday do Santander
Safra Asset Management,2,✅ confirmado,Mesmo board do Safra
BlackRock Brasil,2,✅ confirmado,Workday — sem vaga no Brasil agora
ARX Investimentos,3,🚫 sem_ats_publico,
Claritas Investimentos,3,🚫 sem_ats_publico,
Quest Investimentos,3,🚫 sem_ats_publico,Não identificado com confiança
Tarpon Investimentos,3,🚫 sem_ats_publico,
BB Asset Management,3,⚙️ candidato_fase_2,Mesmo funil do Banco do Brasil (CIEE/concurso)
Caixa Asset Management,3,⚙️ candidato_fase_2,"Estágio via Super Estágios; efetivo via concurso público"
